category,age_range,name,url,address1,address2,address3,address4,head,telephone,email
Voluntary Aided,5 - 11,Akiva,http://www.akivaschool.org/,"WARNING: address of length 9 - [u'Sternberg', u'Centre', u'80', u'East', u'End', u'Road', u'Finchley', u'N3', u'2SY']",,,,Ms S Stone,020 8349 4980,admin@akivaschool.org
Academy,11 - 18,Ashmole,http://www.ashmoleacademy.org,"WARNING: address of length 5 - [u'Cecil', u'Road', u'Southgate', u'N14', u'5RJ']",,,,Mr D Brown,020 8361 2703,office@ashmoleacademy.org
Voluntary Aided,5 - 11,All Saints' CE NW2,,"WARNING: address of length 6 - [u'Cricklewood', u'Lane', u'Childs', u'Hill', u'NW2', u'2TH']",,,,Mr P Taylor,020 8455 9091,office@aspnw2.barnetmail.net
Voluntary Aided,3 - 11,All Saints' CE N20,,"WARNING: address of length 7 - [u'116', u'Oakleigh', u'Road', u'North', u'Whetstone', u'N20', u'9EZ']",,,,Ms C Read,020 8445 2951,office@allsaintsn20.barnetmail.net
Community,3 - 11,Tudor,http://www.tudor.barnet.sch.uk/,"WARNING: address of length 5 - [u'Queens', u'Road', u'Finchley', u'N3', u'2AG']",,,,Ms J Stone,020 8346 6010,office@tudor.barnetmail.net
Voluntary Aided,3 - 11,Rosh Pinah,http://www.rpps.org.uk/,"WARNING: address of length 5 - [u'Glengall', u'Road', u'Edgware', u'HA8', u'8TE']",,,,Mr A Wolfson,020 8958 8599,admin@rpps.org.uk
Community,3 - 11,Sunnyfields,,"WARNING: address of length 7 - [u'Hatchcroft', u'Off', u'Greyhound', u'Hill', u'Hendon', u'NW4', u'4JH']",,,,Mrs Clare Rees,020 8203 3113,office@sunnyfields.barnetmail.net
Community,0 - 11,Parkfield,http://barnet.schooljotter.com/parkfield,"WARNING: address of length 9 - [u'17', u'St', u""David's"", u'Place', u'Park', u'Road', u'Hendon', u'NW4', u'3PJ']",,,,Ms A Holding,020 8202 0454,office@parkfield.barnetmail.net
Community,7 - 11,Queenswell Junior,http://www.queenswelljunior.co.uk/,"WARNING: address of length 5 - [u'Sweets', u'Way', u'Whetstone', u'N20', u'0NQ']",,,,Mr S Clayton,020 8445 2056,office@queenswelljnr.barnetmail.net
Community,5 - 11,Northway,http://webfronter.com/barnet/Northway/,"WARNING: address of length 6 - [u'The', u'Fairway', u'Mill', u'Hill', u'NW7', u'3HS']",,,,Ms L Burgess,020 8359 5450,office@northway.barnet.sch.uk
Community,3 - 5,Moss Hall Nursery,http://mosshallnursery.com/,"WARNING: address of length 6 - [u'189', u'Nether', u'Street', u'Finchley', u'N3', u'1NR']",,,,Ms P Holness,020 8445 2518,office@mosshallnursery.barnetmail.net
Community,7 - 11,Moss Hall Junior,http://www.mosshalljunior.org.uk/,"WARNING: address of length 5 - [u'Nether', u'Street', u'Finchley', u'N3', u'1NR']",,,,Mrs P Grant,020 8445 7965,office@mosshalljnr.barnetmail.net
Community,4 - 7,Moss Hall Infant,http://www.mosshall-inf.barnet.sch.uk/,"WARNING: address of length 6 - [u'Moss', u'Hall', u'Grove', u'Finchley', u'N12', u'8PE']",,,,Mr R Warren,020 8445 9735,office@mhi.barnetmail.net
Academy,11 - 19,London Academy,http://www.londonacademy.org.uk/,"WARNING: address of length 5 - [u'Spur', u'Road', u'Edgware', u'HA8', u'8DE']",,,,Ms A Trigg,020 8238 1100,office@londonacademy.org.uk
