category,age_range,name,url,address1,address2,address3,address4,head,telephone,email
Primary;Independent,,Noam Primary School,http://www.noamprimary.org/,8-10 Forty Avenue,Wembley,HA9 8JW,,,020 8908 9491,secretary@noamprimary.org
Community schools;Primary,3-11,Northview Primary School,http://www.northview.brent.lgfl.net/,Northview Crescent,Neasden,London,NW10 1RD,Mrs Judy Keen,020 8450 7982,admin@northview.brent.sch.uk
Primary;Voluntary Aided,3-11,North West London Jewish Day Primary School,http://www.nwljds.org.uk,180 Willesden Lane,London,NW6 7PP,,Mr Daniel Kerbel,020 8459 3378,admin@nwljds.org.uk
Primary;Foundation schools,3-11,Oakington Manor Primary School,http://www.oakmanor.brent.sch.uk/,Oakington Manor Drive,Wembley,Middx,HA9 6NF,Mrs Sylvie Libson,020 8902 2871,admin@oakmanor.brent.sch.uk
Primary;Secondary;Independent,4-16,Al-Sadiq and Al-Zahra Schools,http://www.al-sadiqal-zahraschools.co.uk/,134 Salusbury Road,Queens Park,NW6 6PF,,,020 7372 7706,alsadiq@btconnect.com
Community schools;Primary,3-11,Oliver Goldsmith Primary School,Not currently available,Conniston Gardens,Kingsbury,London,NW9 0BD,Mr Anthony Quinlan,020 8205 6038,admin@olivergoldsmith.brent.sch.uk
Secondary;Voluntary Aided,11-19,Newman Catholic College (formerly Cardinal Hinsley),http://www.ncc.brent.sch.uk/,Harlesden Road,London,NW10 3RN,,Mr Richard Kolka,020 8965 3947,office@ncc.brent.sch.uk
Community schools;Primary,3-11,Newfield Primary School,http://www.newfield.brent.sch.uk/,Longstone Avenue,Harlesden,London,NW10 3UD,Ms Sarah Bolt,020 8961 1566,admin@newfield.brent.sch.uk
Community schools;Junior,7-11,Mount Stewart Junior School,,Mount Stewart Avenue,Kenton,Middx,HA3 0JX,Mrs Bindu Rai,020 8907 1977,admin@mstewartjnr.brent.sch.uk
Community schools;Infant,4-7,Mount Stewart Infant School,http://www.msi.brent.sch.uk,Carlisle Gardens,Kenton,Middx,HA3 0JX,Ms Naomi Ninvalle,020 8907 5113,admin@msi.brent.sch.uk
Community schools;Primary,3-11,Mora Primary School,http://www.mora.brent.sch.uk,Mora Road,Cricklewood,London,NW2 6TD,Ms Nicola Denton,020 8452 2634,admin@mora.brent.sch.uk
Community schools;Primary,3-11,Mitchell Brook Primary School,http://www.mbrook.brent.sch.uk,Bridge Road,London,NW10 9BX,,Ms Theresa Landreth,020 8459 5681,admin@mbrook.brent.sch.uk
Primary;Voluntary Aided,3-11,Michael Sobell Sinai School,http://www.sinaischool.com/,Shakespeare Drive,Kenton,Middx,HA3 9UD,Mr Robert Leach,020 8204 1550,admin@sinai.brent.sch.uk
Secondary;Independent,11-18,Menorah High School,,105 Brook Road,Dollis Hill,London,NW2 7BZ,Mrs Pearlman,020 8208 0500,
Special Needs,4 - 11,Manor School,www.manor.brent.sch.uk,Chamberlayne Road,Kensal Rise,London,NW10 3NT,Ms Mary Adossides,020 8968 3160,admin@manor.brent.sch.uk
Junior;Foundation schools,7-11,Malorees Junior School,http://www.maloreesjuniorschool.co.uk,Christchurch Avenue,London,NW6 7PB,,Ms Clare Fowler,020 8459 5452,admin@maloreesjnr.brent.sch.uk
Special Needs,11 - 16,Woodfield Secondary School,http://www.woodfield.brent.sch.uk,Glenwood Avenue,Kingsbury,London,NW9 7LY,Ms Desi Lodge-Patch,020 8205 1977,rekha@woodfield.brent.sch.uk
Community schools;Primary,3-11,Wykeham Primary School,http://www.wykeham.brent.sch.uk/,Aboyne Road,Neasden,London,NW10 0EX,Mr Everton Sharpe,020 8450 8425,admin@wykeham.brent.sch.uk
Community schools;Primary,3-11,Wembley Primary School,http://www.wembleyprimary.co.uk/,East Lane,Wembley,Middx,HA9 7NW,Mr Rob Fenton,020 8904 3725,admin@wembleyprimary.brent.sch.uk
Secondary;Foundation schools,11-19,Wembley High Technology College,http://www.whtc.co.uk,East Lane,North Wembley,Middx,HA0 3NT,Ms Gill Bal,020 8385 4800,admin@whtc.co.uk
Community schools;Primary,3-11,Uxendon Manor Primary School,http://www.uxmanor.brent.sch.uk,Vista Way,Kenton,Middx,HA3 0UX,Mr Jonathan Parry,020 8907 5019,admin@uxmanor.brent.sch.uk
Special Needs,2-19,The Village School,http://www.tvs.brent.sch.uk,Grove Park,Kingsbury,London,NW9 0JY,Ms Kay Johnson,020 8204 5396,office@tvs.brent.sch.uk
Independent,,"The Welsh School, London",http://www.ysgolgymraegllundain.ik.org/,"WARNING: address of length 5 - [u'c/o Stonebridge Primary School', u'Shakespeare Avenue', u'Wembley', u'London', u'NW10 8NG']",,,,Mrs Menna M. George,020 8965 3585,headlondonwelsh@hotmail.co.uk
Primary;Secondary;Independent,2-17,The Swaminarayan School,http://www.swaminarayan.brent.sch.uk/,260 Brentfield Road,Neasden,London,NW10 8HE,Mr Mahendra Savjani,020 8965 8381,admin@swaminarayan.brent.sch.uk
Secondary;Foundation schools;Academy,11/19,The Crest Girls' Academy,http://www.thecrestgirlsacademy.org.uk/,Crest Road,London,NW2 7SN,,Ms Bev Bell,020 8452 4842,staff@thecrestgirlsacademy.org.uk
