category,age_range,name,url,address1,address2,address3,address4,head,telephone,email
academy,3-11 years,Alec Reed Academy (Primary School),http://www.alecreedacademy.co.uk,Compton Crescent,Northolt,UB5 5LP,,Hilary Macaulay,(020) 8841 4511,enquiries@alecreedacademy.co.uk
Academy,(including nursery) 3-11 (but admission only for reception children in September 2013 as this will be the first year of the school's operation),Ark Priory Primary School,http://www.arkprioryprimary.org,"WARNING: address of length 6 - [u'Site location: Acton Lane', u'Acton W3 8NY / Postal address: H Morgan-Smith', u'2/NE/3', u'Perceval House', u'14-16 Uxbridge Road', u'Ealing W5 2HL']",,,,In post January 2013,(020) 3116 0823,info@arkactonprimary.org
"A distinctive local school for local people with specialist science college and specialist language college status. Academy for ages 11-18. This school will open in September 2013, starting with 180 places for year 7 students.",,William Perkin Church of England High School,http://www.williamperkin.org.uk,Site location: Oldfield Lane North,Greenford UB6 8QD / Postal address: - c/o Twyford CE High School,Twyford Crescent,Acton W3 9PP,Executive head Ms Alice Hudson MA (Oxon),(020) 3301 3181,office@williamperkin.org.uk
"A Church of England academy with specialist music college and specialist language college status for 11–19 year olds. It forms part of the Twyford Church of England Academies Trust, a multi academy trust established when Twyford became an Academy in 2011.",,Twyford High School,http://www.twyford.ealing.sch.uk,Twyford Crescent,Acton W3 9PP.,,,Executive head Ms Alice Hudson MA (Oxon),(020) 8752 0141,office@twyford.ealing.sch.uk
"An all ability, all age academy for 11-19 year olds.",,Alec Reed Academy,http://www.alecreedacademy.co.uk,Bengarth Road,Northolt,Middlesex UB5 5LQ,,"Dr Hilary Macaulay, BA(Hons), MA, MBA, PhD",(020) 8841 4511,enquiries@alecreedacademy.co.uk
"A Church of England academy with specialist music college and specialist language college status for 11–19 year olds. It forms part of the Twyford Church of England Academies Trust, a multi academy trust established when Twyford became an Academy in 2011.",,Twyford High School,http://www.twyford.ealing.sch.uk,Twyford Crescent,Acton W3 9PP.,,,Executive head Ms Alice Hudson MA (Oxon),(020) 8752 0141,office@twyford.ealing.sch.uk
Foundation school with technology college status,,Northolt High School,http://www.northolthigh.org.uk,Eastcote Lane,Northolt,UB5 4HP.,,Interim executive head: Mr Arwel Jones,(020) 8864 8544,admin@northolthigh.org.uk
community primary school,3-11 years,Viking Primary School,http://www.vikingprimary.net,Radcliffe Way,Yeading Lane,Northolt,UB5 6HW,Ms S P Townson,(020) 8845 3186,office@viking.ealing.sch.uk
comunity primary school,3-11 years,Vicar's Green Primary School,http://www.vicars-green.ealing.sch.uk,Lily Gardens,Alperton,HA0 1DP,,Mrs Mary Sergides,(020) 8997 6734,admin@vicars-green.ealing.sch.uk
A leading edge academy. Specialising in the sciences and sport for 11-19 year-olds,,Featherstone High School,http://www.featherstonehigh.ealing.sch.uk,11 Montague Waye,Southall,UB2 5HF.,,"Mr Gerrry Wadwa BSc (Hons), MA",(020) 8843 0984,info@featherstonehigh.ealing.sch.uk
foundation infant school,3-7 years,Wood End Infant School,http://www.woodendfirst.ealing.sch.uk/,Whitton Avenue West,Northolt,UB5 4LB,,Ms Lucy Rodgers,(020) 8422 5182,admin@woodendfirst.ealing.sch.uk
foundation junior school - academy,7-11 years,Wood End Academy (Junior),http://www.woodendacademy.org.uk,Vernon Rise,Greenford,UB6 0EQ,,Mrs Anne Hayes,(020) 8422 6175,admin@woodendacademy.org.uk
community primary school,3 -11 years,Wolf Fields Primary School,,Norwood Road,Norwood Green,Southall,UB2 4JS,Mrs Gata-Aura,(020) 8571 7970/ 8843 9901,admin@wolffields.ealing.sch.uk
community primary school,3-11 years,Tudor Primary School,http://www.tudor.ealing.sch.uk,Tudor Road,Southall,UB1 1NX,,Mrs Jas Kalra,(020) 8571 4818,admin@tudor.ealing.sch.uk
community primary school,3-11 years,Three Bridges Primary School,http://www.threebridgesprimary.co.uk/,Melbury Avenue,Norwood Green,Southall,UB2 4HT,Mr M Burdett,(020) 8571 1491,admin@threebridges.ealing.sch.uk
community primary school,3-11 years,Stanhope Primary School,http://www.stanhopeprimaryschool.co.uk/,Mansell Road,Greenford,UB6 9EG,,Mr David McLeod,(020) 8575 9989,admin@stanhope.ealing.sch.uk
community primary school,3-11 years,Ravenor Primary School,http://www.ravenor.ealing.sch.uk/,Greenway Gardens,Greenford,UB6 9TT,,Mrs Ros Hancell,(020) 8578 1654,admin@ravenor.ealing.sch.uk
voluntary-aided school,4-11 years,St Vincent's Catholic Primary School,http://www.st-vincents.ealing.sch.uk,1 Pierrepoint Road,Acton,W3 9JR,,Mrs C Cleugh,(020) 8992 6625,admin@st-vincents.ealing.sch.uk
