category,age_range,name,url,address1,address2,address3,address4,head,telephone,email
,college,Harrow College,http://www.harrow.ac.uk,Brookshill    Harrow Weald,HA3 6RR,,,,020 8909 6000,enquiries@harrow.ac.uk
,college,St.Dominic's (RC) Sixth Form College,http://www.stdoms.ac.uk,Mount Park Avenue,Harrow-on-the-Hill,HA1 3HX,,,020 8422 8084,stdoms@stdoms.ac.uk
,college,Stanmore College FEC,http://www.stanmore.ac.uk,Elm Park,Stanmore,HA7 4BQ,,,020 8420 7700,enquiry@stanmore.ac.uk
,special,Alexandra School,www.alexandra-school.co.uk,Alexandra Avenue,Harrow,HA2 9DX,,Mr Dennis Goldthorpe,020 8864 2739,office@alexandra-school.co.uk
,special,Kingsley High School,www.kingsley.harrow.sch.uk,Whittlesea Road,Harrow,HA3 6ND,,Ms Pauline Atkins,020 8421 3676,office@kingsley.harrow.sch.uk
,special,Shaftesbury High School,www.shaftesbury.harrow.sch.uk,Headstone Lane,Harrow,HA3 6LE,,Mr Paul Williams,020 8428 2482,adminoffice@shaftesbury.harrow.sch.uk
,special,Woodlands School,www.woodlands.harrow.sch.uk,Bransgrove Road,Edgware,HA8 6JP,,Mr John Feltham,020 8381 2188,office@woodlands.harrow.sch.uk
,secondary,Avanti House,www.avanti.org.uk,Tudor Road,Harrow,HA3 5PQ,,Mr Gareth Jones,02082496830,avantihouse@avanti.org.uk
,secondary,Bentley Wood High School,www.bentleywood.harrow.sch.uk,Bridges Road,Stanmore,HA7 3NA,,Ms Janice Howkins,020 8954 3623,schooloffice@bentleywood.harrow.sch.uk
,secondary,Canons High School,www.canonshighschool.org.uk,Shaldon Road,Edgware,HA8 6AN,,Ms Lynn Rowlands,020 8951 5780,admin@canons.harrow.sch.uk
,secondary,Harrow High School,www.hhsweb.org,Gayton Road,Harrow,HA1 2JG,,Mr Paul Gamble,020 8861 7300,office@hhsweb.org
,secondary,Hatch End High School,www.hatchend.harrow.sch.uk,Headstone Lane,Harrow,HA3 6NR,,Ms Sue Maguire,020 8428 4330,admin@hatchend.harrow.sch.uk
,secondary,Nower Hill High School,www.nowerhill.harrow.sch.uk,George V Avenue,Pinner,HA5 5RP,,Mr Howard Freed,020 8863 0877,admin@nowerhill.harrow.sch.uk
